MAGNET_D,MAGNET_H,MAGNET_TO_RING_FACE,POST_TO_SENSOR,POST_TO_TOP,MAG_RING_TO_POST,MAGNET_RING_GAP,FERRITE_H,FERRITE_D,MAGNETIZATION,FERRITE_MAGNETIZATION_EM_OFF,FERRITE_MAGNETIZATION_EM_ON,PEN_MASS,HOVER_HEIGHT,COIL_H,COIL_OD,COIL_ID,WIRE_D,CURRENT,COIL_POS_TOP,BASE_MAGNET_TOP,BASE_MAGNET_NUM,RING1_D,RING2_D,RING1_NUM,RING2_NUM,RING1_THETA,RING2_THETA,TOP_TO_FERRITE,SENSOR_POS,RING1_Z,RING2_Z,F_magnet_z [N],F_EMon_z [N],F_g_z [N],F_t_z [N],-Restoring Moment [Nm],F_destabilize_x [N],F_stabilize_x [N],F_stabilize_x + F_destabilize_x [N]
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.0315,2,0.06,0.06,9,12,0,0,-0.0184,-0.006,-0.0065,-0.0265,1.048578727,-0.464082374,-0.13734,0.447156353,0.000734831,-0.04595684,0.020534679,-0.025422161
0.01,0.005,0.005,-0.0036,0.0024,-0.0024,0.017,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.0315,2,0.06,0.045,9,12,0,0,-0.0184,-0.006,-0.0075,-0.0295,0.5565165,-0.464082374,-0.13734,-0.044905874,0.001275912,-0.024462273,0.020534679,-0.003927595
0.01,0.005,0.005,-0.0036,0.0024,-0.0024,0.0124,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.0315,2,0.059,0.0425,9,9,0,0,-0.0184,-0.006,-0.0075,-0.0249,0.626051348,-0.464082374,-0.13734,0.024628974,0.00126233,-0.027636427,0.020534679,-0.007101749
0.01,0.005,0.005,-0.0036,0.0024,-0.0024,0.0124,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.0315,2,0.058,0.0425,9,9,0,0,-0.0184,-0.006,-0.0075,-0.0249,0.677948494,-0.464082374,-0.13734,0.07652612,0.001279517,-0.029991716,0.020534679,-0.009457038
0.01,0.005,0.005,-0.0036,0.0024,-0.0024,0.0124,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.0315,2,0.058,0.04125,9,9,0,0,-0.0184,-0.006,-0.0075,-0.0249,0.628075984,-0.464082374,-0.13734,0.02665361,0.001331157,-0.0277873,0.020534679,-0.007252621
0.01,0.005,0.005,-0.0036,0.0024,-0.0024,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.0315,2,0.058,0.045,8,10,0,0,-0.0184,-0.006,-0.0075,-0.0275,0.584080805,-0.464082374,-0.13734,-0.017341569,0.001232559,-0.025824213,0.020534679,-0.005289534
0.01,0.005,0.005,-0.0036,0.0024,-0.0024,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-30.5,2,0.058,0.045,8,8,0,0,-0.0184,-0.006,-0.0075,-0.0275,0.834089884,-0.464082374,-0.13734,0.23266751,0.000808937,-0.036815689,0.020534679,-0.016281011
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.0315,2,0.058,0.045,8,10,0,0,-0.0184,-0.006,-0.0065,-0.0265,0.683481204,-0.464082374,-0.13734,0.08205883,0.001160869,-0.030043182,0.020534679,-0.009508504
0.01,0.005,0.005,-0.0036,0.0024,-0.002,0.017,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.024,2,0.059,0.045,9,12,0,0,-0.0184,-0.006,-0.0079,-0.0299,0.380445063,-0.464082374,-0.13734,-0.220977311,0.001490935,-0.016767835,0.020534679,0.003766843
0.01,0.005,0.005,-0.0036,0.0024,-0.002,0.017,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.0315,2,0.059,0.045,9,12,0,0,-0.0184,-0.006,-0.0079,-0.0299,0.568462791,-0.464082374,-0.13734,-0.032959582,0.001317723,-0.025105046,0.020534679,-0.004570368
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.0315,2,0.058,0.045,8,10,0,0,-0.0184,-0.006,-0.0065,-0.0265,0.683481204,-0.464082374,-0.13734,0.08205883,0.001160869,-0.030043182,0.020534679,-0.009508504
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.024,2,0.058,0.045,8,10,0,0,-0.0184,-0.006,-0.0065,-0.0265,0.495463475,-0.464082374,-0.13734,-0.105958899,0.001334081,-0.021705972,0.020534679,-0.001171293
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.024,2,0.058,0.045,9,9,0,0,-0.0184,-0.006,-0.0065,-0.0265,0.679276764,-0.464082374,-0.13734,0.077854391,0.001199071,-0.029747103,0.020534679,-0.009212425
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.024,2,0.059,0.045,9,9,0,0,-0.0184,-0.006,-0.0065,-0.0265,0.617243241,-0.464082374,-0.13734,0.015820867,0.001186947,-0.026954411,0.020534679,-0.006419732
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.024,2,0.059,0.045,9,10,0,0,-0.0184,-0.006,-0.0065,-0.0265,0.583650253,-0.464082374,-0.13734,-0.017772121,0.001278346,-0.025496882,0.020534679,-0.004962203
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.024,2,0.058,0.045,8,8,0,0,-0.0184,-0.006,-0.0065,-0.0265,0.562649451,-0.464082374,-0.13734,-0.038772923,0.001151284,-0.02462103,0.020534679,-0.004086351
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.024,2,0.058,0.048,8,8,0,0,-0.0184,-0.006,-0.0065,-0.0265,0.637067702,-0.464082374,-0.13734,0.035645329,0.00106518,-0.027900084,0.020534679,-0.007365406
0.01,0.005,0.005,-0.0036,0.0024,-0.0034,0.015,0.012,0.008,1510000,-151000,505850,0.014,0.005,0.024,0.0196,0.008,0.00035,0.123,-0.0004,-0.024,2,0.057,0.047,8,8,0,0,-0.0184,-0.006,-0.0065,-0.0265,0.670794845,-0.464082374,-0.13734,0.069372471,0.001106145,-0.029452904,0.020534679,-0.008918226
